Which 3 characters had the worst arc?
"Jade Harley, Feferi Peixes, Nepeta Leijon"
"Eridan Ampora, Gamzee Makara, Davepeta"
"Gamzee Makara, Eridan Ampora, Tavros Nitram"
""
"Jane Crocker, Terezi Pyrope, Jake English"
"Davesprite, Jane Crocker, Jake English"
""
"Jade Harley, Jane Crocker, Tavros Nitram"
"Eridan Ampora, Feferi Peixes, Kankri Vantas"
""
"Nepeta Leijon, Vriska Serket, Tavros Nitram"
"Nepeta Leijon, Equius Zahhak, Aranea Serket"
"Jake English, Tavros Nitram, Davesprite"
"Vriska Serket, Meenah Peixes, Jake English"
""
"Davesprite, Jade Harley, WV (sigh... ""The Mayor"")"
"Equius Zahhak, Eridan Ampora, Feferi Peixes"
"Vriska Serket, Aranea Serket, Eridan Ampora"
""
"Vriska Serket, Meulin Leijon, Latula Pyrope"
"Jane Crocker, Nepeta Leijon, Gamzee Makara"
"Dave Strider, Rose Lalonde, Kanaya Maryam"
"Gamzee Makara, Nepeta Leijon, Eridan Ampora"
""
"Cronus Ampora, Jake English, Grandpa Harley"
"Jane Crocker, Rufioh Nitram, Gamzee Makara"
"Equius Zahhak, Tavros Nitram, Doc Scratch"
"Sollux Captor, Tavros Nitram, Eridan Ampora"
""
"Jane Crocker, Jake English, Equius Zahhak"
"Jane Crocker, Feferi Peixes, Eridan Ampora"
"Terezi Pyrope, Gamzee Makara, Vriska Serket"
"Jack Noir (B1), Davepeta, Jasprose"
"Feferi Peixes, Nepeta Leijon, Bro Strider"
"Jade Harley, Terezi Pyrope, Jane Crocker"
"Jack Noir (B1), Jane Crocker, Jake English"
"Cronus Ampora, Horuss Zahhak, Mituna Captor"
"Terezi Pyrope, Sollux Captor, Nepeta Leijon"
"Karkat Vantas, Feferi Peixes, Jade Harley"
""
""
"Eridan Ampora, Lil Hal, Aranea Serket"
"Eridan Ampora, Lil Hal, Kankri Vantas"
"Eridan Ampora, Nepeta Leijon, Gamzee Makara"
"Nepeta Leijon, Equius Zahhak, Feferi Peixes"
"Mituna Captor, Horuss Zahhak, Meulin Leijon"
"Vriska Serket, Eridan Ampora, Equius Zahhak"
"Vriska Serket, Eridan Ampora, Jack Noir (B1)"
"Tavros Nitram, Jake English, Sollux Captor"
""
""
"Vriska Serket, Meenah Peixes, Caliborn"
""
""
""
"Eridan Ampora, Davesprite, Caliborn"
"Eridan Ampora, Vriska Serket, Rose Lalonde"
"Dirk Strider, Jake English, Roxy Lalonde"
"Tavros Nitram, Equius Zahhak, Gamzee Makara"
"Jane Crocker, Karkat Vantas, All the dancestors, but that’s kinda the point"
"Mituna Captor, Damara Megido, Cronus Ampora"
