Which 3 characters had the best complete arc?
"John Egbert, Karkat Vantas, Dirk Strider"
"Dave Strider, Dirk Strider, Jake English"
"Dave Strider, Karkat Vantas, Vriska Serket"
"Dave Strider, Roxy Lalonde, Aradia Megido"
""
"Dave Strider, John Egbert, Karkat Vantas"
"Terezi Pyrope, Roxy Lalonde, Vriska Serket"
"Dave Strider, Davepeta, PM"
"Aranea Serket, John Egbert, Vriska Serket"
"John Egbert, Rose Lalonde, Dave Strider"
"PM, John Egbert, Dave Strider"
"pre-retcon Vriska, Dave Strider, Rose Lalonde"
"John Egbert, Terezi Pyrope, Vriska Serket"
"John Egbert, Terezi Pyrope, Aranea Serket"
"Dave Strider, Caliborn, Roxy Lalonde"
"John Egbert, Dave Strider, Jade Harley"
"Terezi Pyrope, Vriska Serket, Karkat Vantas"
"Vriska Serket, Kanaya Maryam, Roxy Lalonde"
"Vriska Serket, Karkat Vantas, Dave Strider"
""
"John Egbert, Dave Strider, Karkat Vantas"
"Karkat Vantas, Dave Strider, Terezi Pyrope"
"Jade Harley, Dirk Strider, Tavros Nitram"
"Karkat Vantas, Dave Strider, John Egbert"
"Aradia Megido, Roxy Lalonde, Kanaya Maryam"
"Dave Strider, Vriska Serket, Kanaya Maryam"
"Karkat Vantas, Roxy Lalonde, Aranea Serket"
"Terezi Pyrope, Aradia Megido, Dave Strider"
""
"Dave Strider, John Egbert, Terezi Pyrope"
"Karkat Vantas, John Egbert, Aradia Megido"
"Gamzee Makara, Vriska Serket, Aradia Megido"
"John Egbert, Dave Strider, Dirk Strider"
"Vriska Serket, John Egbert, Jade Harley"
""
""
"Dave Strider, Karkat Vantas, Terezi Pyrope"
"Vriska Serket, Dirk Strider, Doc Scratch"
"Davepeta, Vriska Serket, Aradia Megido"
"Karkat Vantas, Dirk Strider, Tavros Nitram"
"Dave Strider, Vriska Serket, John Egbert"
"Dave Strider, Karkat Vantas, Dirk Strider"
"Rose Lalonde, IDK, John Egbert"
""
"Dave Strider, WV (sigh... ""The Mayor""), PM"
"John Egbert, Karkat Vantas, Roxy Lalonde"
"Terezi Pyrope, John Egbert, Karkat Vantas"
"Davesprite, Rose Lalonde, John Egbert"
"Dave Strider, Davesprite, Auto Responder"
"Aradia Megido, Kanaya Maryam, Dirk Strider"
"Terezi Pyrope, Karkat Vantas, Kanaya Maryam"
"John Egbert, Vriska Serket, Terezi Pyrope"
"Aradia Megido, Lord English, Caliborn"
""
"Terezi Pyrope, Rose Lalonde, Becquerel"
"Dave Strider, Karkat Vantas, Vriska Serket"
"Aranea Serket, Rose Lalonde, Dave Strider"
"WV (sigh... ""The Mayor""), Caliborn, The Condesce"
""
"Dave Strider, Rose Lalonde, John Egbert"
"John Egbert, Aradia Megido, Jack Noir (B1)"
"Dave Strider, Terezi Pyrope, Roxy Lalonde"
"Terezi Pyrope, Vriska Serket, Kanaya Maryam"
"John Egbert, Dave Strider, Davepeta"
"Vriska Serket, Rose Lalonde, Karkat Vantas"
""
""
"Dave Strider, Karkat Vantas, Dirk Strider"
"Rose Lalonde, Jade Harley, Dave Strider"
""
"Rose Lalonde, Dave Strider, Roxy Lalonde"
""
""
"Caliborn, Equius Zahhak, Karkat Vantas"
"Karkat Vantas, Dad Egbert, Dirk Strider"
"Lord English, Karkat Vantas, Aradia Megido"
"John Egbert, Vriska Serket, Rose Lalonde"
"Dave Strider, John Egbert, Calliope"
"Jade Harley, Kanaya Maryam, Calliope"
"Terezi Pyrope, Vriska Serket, Dave Strider"
"John Egbert, Dave Strider, Rose Lalonde"
"Kurloz Makara, Meulin Leijon, Caliborn"
"Karkat Vantas, Terezi Pyrope, Jade Harley"
"John Egbert, Rose Lalonde, Dave Strider"
"John Egbert, SS, Jake English"
"John Egbert, Aradia Megido, Terezi Pyrope"
""
"Rose Lalonde, Terezi Pyrope, Jane Crocker"
"Davesprite, Jade Harley, John Egbert"
"Jade Harley, Caliborn, Nepeta Leijon"
"Dave Strider, Rose Lalonde, Terezi Pyrope"
"John Egbert, Caliborn, Dave Strider"
"John Egbert, Davepeta, Karkat Vantas"
"John Egbert, Vriska Serket, Gamzee Makara"
"Tavros Nitram, Bro Strider, WV (sigh... ""The Mayor"")"
"Dirk Strider, Rose Lalonde, Karkat Vantas"
"Sollux Captor, Meenah Peixes, The Condesce"
"Karkat Vantas, Vriska Serket, John Egbert"
"Eridan Ampora, John Egbert, Dave Strider"
"Karkat Vantas, Dirk Strider, WV (sigh... ""The Mayor"")"
"Dave Strider, Terezi Pyrope, Aradia Megido"
"John Egbert, Dave Strider, Karkat Vantas"
"Dave Strider, Terezi Pyrope, Karkat Vantas"
"Vriska Serket, Dave Strider, Terezi Pyrope"
""
"Dave Strider, Aradia Megido, Davepeta"
"WV (sigh... ""The Mayor""), Aradia Megido, John Egbert"
""
"John Egbert, Dave Strider, Vriska Serket"
""
"Dave Strider, Karkat Vantas, John Egbert"
"Dave Strider, Kanaya Maryam, Vriska Serket"
"Dave Strider, Vriska Serket, Tavros Nitram"
""
"Dave Strider, Vriska Serket, Roxy Lalonde"
""
"John Egbert, Dave Strider, Vriska Serket"
"Rose Lalonde, Karkat Vantas, Aradia Megido"
"Dave Strider, John Egbert, Karkat Vantas"
"Dave Strider, Karkat Vantas, John Egbert"
"Karkat Vantas, Vriska Serket, Terezi Pyrope"
"Gamzee Makara, John Egbert, Rose Lalonde"
"Dave Strider, Roxy Lalonde, Aradia Megido"
"Feferi Peixes, Gamzee Makara, Dad Egbert"
"John Egbert, Davesprite, Aradia Megido"
"Rose Lalonde, Karkat Vantas, Vriska Serket"
"John Egbert, Karkat Vantas, Dirk Strider"
"Rose Lalonde, John Egbert, Dave Strider"
"Aradia Megido, Dirk Strider, Lil Hal"
""
"John Egbert, Jane Crocker, Doc Scratch"
"John Egbert, Dave Strider, Rose Lalonde"
"Dave Strider, Aradia Megido, Sollux Captor"
""
"Gamzee Makara, Vriska Serket, Rose Lalonde"
"Karkat Vantas, Terezi Pyrope, Aradia Megido"
"John Egbert, Dave Strider, Rose Lalonde"
"John Egbert, Roxy Lalonde, Vriska Serket"
""
"John Egbert, Roxy Lalonde, Caliborn"
""
"Caliborn, Sollux Captor, Jack Noir (B1)"
"Jade Harley, John Egbert, Dave Strider"
"WV (sigh... ""The Mayor""), Davesprite, PM"
"Vriska Serket, Dirk Strider, Sollux Captor"
"Vriska Serket, Terezi Pyrope, Roxy Lalonde"
"Sollux Captor, John Egbert, AR"
"Karkat Vantas, Dave Strider, John Egbert"
"Terezi Pyrope, Dave Strider, Calliope"
"Aradia Megido, Caliborn, Dirk Strider"
"Davesprite, Aranea Serket, Redglare"
"Dave Strider, Karkat Vantas, Gamzee Makara"
"Jade Harley, Equius Zahhak, Eridan Ampora"
"John Egbert, Karkat Vantas, Terezi Pyrope"
"Dave Strider, Karkat Vantas, Terezi Pyrope"
""
""
"Dave Strider, Karkat Vantas, Aradia Megido"
"Vriska Serket, Caliborn, No"
"John Egbert, Vriska Serket, Karkat Vantas"
"John Egbert, Caliborn, Roxy Lalonde"
""
"Dave Strider, Vriska Serket, Tavros Nitram"
"Dave Strider, Terezi Pyrope, John Egbert"
"Dave Strider, John Egbert, Jade Harley"
"Terezi Pyrope, Karkat Vantas, Jade Harley"
"Dirk Strider, Dave Strider, Vriska Serket"
"Jade Harley, Dave Strider, Dirk Strider"
""
"Dave Strider, Vriska Serket, Aradia Megido"
""
"John Egbert, Terezi Pyrope, Vriska Serket"
"Dave Strider, Dirk Strider, Roxy Lalonde"
"Rose Lalonde, Aradia Megido, Calliope"
"Dave Strider, Terezi Pyrope, Karkat Vantas"
"John Egbert, Terezi Pyrope, Caliborn"
"Karkat Vantas, Gamzee Makara, Terezi Pyrope"
"Mituna Captor, Terezi Pyrope, Roxy Lalonde"
"Karkat Vantas, John Egbert, Roxy Lalonde"
"Dirk Strider, John Egbert, Dave Strider"
"Dirk Strider, Vriska Serket, Tavros Nitram"
"Dave Strider, Terezi Pyrope, Karkat Vantas"
"Terezi Pyrope, Aranea Serket, Jade Harley"
"John Egbert, Rose Lalonde, Terezi Pyrope"
"Karkat Vantas, Aradia Megido, Sollux Captor"
"Dave Strider, Roxy Lalonde, John Egbert"
"Dave Strider, Karkat Vantas, Jade Harley"
"Vriska Serket, Rose Lalonde, Dave Strider"
""
"Aradia Megido, Tavros Nitram, Davepeta"
"John Egbert, Jade Harley, ARquius"
"Vriska Serket, Dave Strider, Rose Lalonde"
"Vriska Serket, Karkat Vantas, John Egbert"
"Jake English, Karkat Vantas, Dave Strider"
"Karkat Vantas, Dirk Strider, Vriska Serket"
"Vriska Serket, Dave Strider, Dirk Strider"
""
"Aradia Megido, Aranea Serket, WV (sigh... ""The Mayor"")"
"Dave Strider, Vriska Serket, Terezi Pyrope"
"Dirk Strider, Dave Strider, Rose Lalonde"
