Select your 3 favorite characters!
"Rose Lalonde, Aradia Megido, Kanaya Maryam"
"Kanaya Maryam, Calliope, Doc Scratch"
"Vriska Serket, Roxy Lalonde, Aranea Serket"
"June!!!!!!!, Dave Strider, Rose Lalonde"
"Tavros Nitram, Equius Zahhak, Eridan Ampora"
"Dave Strider, Vriska Serket, Roxy Lalonde"
""
"Kanaya Maryam, Nepeta Leijon, Roxy Lalonde"
"Sollux Captor, Mituna Captor, Latula Pyrope"
"Sollux Captor, Terezi Pyrope, SS"
"John Egbert, Tavros Nitram, tavrisprite!"
"Karkat Vantas, Dave Strider, Kanaya Maryam"
"Dave Strider, Lil Hal, John Egbert"
"John Egbert, Nepeta Leijon, Davepeta"
"Becquerel, MSPA, Nepeta Leijon"
"Karkat Vantas, Sollux Captor, Gamzee Makara"
"Sollux Captor, Equius Zahhak, The Psionic"
"Karkat Vantas, Nepeta Leijon, Dirk Strider"
"Nepeta Leijon, John Egbert, Karkat Vantas"
"Jade Harley, Nepeta Leijon, Mituna Captor"
"Terezi Pyrope, Roxy Lalonde, Dave Strider"
"Jade Harley, Karkat Vantas, Dave Strider"
"Karkat Vantas, Terezi Pyrope, Nepeta Leijon"
"Jade Harley, Nepeta Leijon, Vriska Serket"
"Terezi Pyrope, Karkat Vantas, Dave Strider"
"Terezi Pyrope, Vriska Serket, Roxy Lalonde"
"Vriska Serket, Kanaya Maryam, Rose Lalonde"
"Roxy Lalonde, Nepeta Leijon, Terezi Pyrope"
"Terezi Pyrope, Vriska Serket, Rose Lalonde"
"Nepeta Leijon, Sollux Captor, Davepeta"
"Karkat Vantas, John Egbert, Gamzee Makara"
"Dave Strider, Vriska Serket, Rose Lalonde"
"Calliope, Equius Zahhak, PM"
"Meenah Peixes, Kanaya Maryam, The Condesce"
"Gamzee Makara, Meenah Peixes, Jack Noir (B1)"
"WV (sigh... ""The Mayor""), Terezi Pyrope, Dirk Strider"
"Dave Strider, Karkat Vantas, Dirk Strider"
"Karkat Vantas, Dirk Strider, Rose Lalonde"
"Dad Egbert, SS, Jake English"
"Jade Harley, Aradia Megido, Kanaya Maryam"
"Dave Strider, Caliborn, Terezi Pyrope"
"Terezi Pyrope, WV (sigh... ""The Mayor""), Dad Egbert"
"Karkat Vantas, Terezi Pyrope, Kanaya Maryam"
"Rose Lalonde, Tavros Nitram, Roxy Lalonde"
"Gamzee Makara, Karkat Vantas, Eridan Ampora"
"Dave Strider, Kanaya Maryam, Karkat Vantas"
"Sollux Captor, Roxy Lalonde, Eridan Ampora"
"Equius Zahhak, Rose Lalonde, Nepeta Leijon"
"Vriska Serket, Davesprite, Bro Strider"
"Tavros Nitram, Dave Strider, John Egbert"
"Terezi Pyrope, Jade Harley, Nepeta Leijon"
"Karkat Vantas, Dave Strider, Nepeta Leijon"
"Dave Strider, Karkat Vantas, Lil Hal"
"Dave Strider, Dirk Strider, Karkat Vantas"
"John Egbert, Nepeta Leijon, Dirk Strider"
"Karkat Vantas, Rose Lalonde, Dave Strider"
"Karkat Vantas, Jade Harley, Terezi Pyrope"
"Karkat Vantas, Tavros Nitram, Nepeta Leijon"
"Terezi Pyrope, Tavros Nitram, Meulin Leijon"
"Caliborn, Jack Noir (B1), Dirk Strider"
"Dave Strider, Terezi Pyrope, Jack Noir (B1)"
