Select your 3 least favorite characters!
"SS, ARquius, Other"
"Vriska Serket, Doc Scratch, Cronus Ampora"
"Caliborn, Cronus Ampora, Dirk Strider"
"Jake English, Kankri Vantas, Kurloz Makara"
"Dirk Strider, Equius Zahhak, Bro Strider"
"Eridan Ampora, Feferi Peixes, Bro Strider"
"Eridan Ampora, Horuss Zahhak, they should let me pick eridan twice"
""
"Grandpa Harley, Lil Hal, Jasprose"
""
"Calliope, Jane Crocker, Lil Hal"
"Jake English, Gamzee Makara, Tavros Nitram"
"Vriska Serket, Aranea Serket, Eridan Ampora"
"Feferi Peixes, Rufioh Nitram, Lord English"
"Jake English, Doc Scratch, Meenah Peixes"
""
"Kurloz Makara, Horuss Zahhak, Jake English"
"Horuss Zahhak, Aranea Serket, ARquius"
"Caliborn, Gamzee Makara, Aranea Serket"
"Gamzee Makara, Cronus Ampora, Caliborn"
"Gamzee Makara, Tavros Nitram, Kankri Vantas"
"Aranea Serket, Kurloz Makara, Kankri Vantas"
"Gamzee Makara, Jake English, Cronus Ampora"
"Aradia Megido, Feferi Peixes, Tavros Nitram"
"Becquerel, Horuss Zahhak, Porrim Maryam"
"Bro Strider, Jake English, Jane Crocker"
"Eridan Ampora, Bro Strider, Jane Crocker"
"Tavros Nitram, Vriska Serket, Equius Zahhak"
"Aradia Megido, Gamzee Makara, Cronus Ampora"
"Vriska Serket, Dirk Strider, Eridan Ampora"
"Doc Scratch, IDK, Caliborn"
"Jane Crocker, Rose Lalonde, Jade Harley"
"Tavros Nitram, Sollux Captor, Feferi Peixes"
"Cronus Ampora, AR, Kankri Vantas"
"Eridan Ampora, Terezi Pyrope, Feferi Peixes"
"Gamzee Makara, Kankri Vantas, Mituna Captor"
"Lil Hal, Kankri Vantas, Damara Megido"
"i dont homestuck, Karkat Vantas, Vriska Serket"
"Vriska Serket, Cronus Ampora, Caliborns session jack"
"Grandpa Harley, Feferi Peixes, Sollux Captor"
"Vriska Serket, Bro Strider, The Condesce"
"Cronus Ampora, Caliborn, Mindfang"
"Jasprose, Vriska Serket, Davepeta"
"Eridan Ampora, Kurloz Makara, Aranea Serket"
"Cronus Ampora, Kankri Vantas, Mindfang"
""
"Cronus Ampora, Kankri Vantas, Damara Megido"
"Cronus Ampora, Lil Hal, andrew hussie"
"The Condesce, Cronus Ampora, Equius Zahhak"
"Damara Megido, Kankri Vantas, Cronus Ampora"
"Calliope, Aranea Serket, Sollux Captor"
"Kankri Vantas, ARquius, Cronus Ampora"
"Lord English, Dirk Strider, Jack Noir (B1)"
"Gamzee Makara, Eridan Ampora, Bro Strider"
"Gamzee Makara, Damara Megido, Mituna Captor"
"Gamzee Makara, Vriska Serket, Bro Strider"
"Kanaya Maryam, Bro Strider, Jack Noir (B1)"
"Eridan Ampora, Kankri Vantas, Mituna Captor"
"Gamzee Makara, Mom Lalonde, Cronus Ampora"
"Cronus Ampora, Jade Harley, Jane Crocker"
"Bro Strider, Doc Scratch, Gamzee Makara"
"Dad Egbert, Grandpa Harley, Lil Hal"
""
"Damara Megido, Cronus Ampora, Mituna Captor"
